,Название продукта,Название категории продукта,Цену продукта,Название города
0,Креветки Королевские 26/30 очищенные,Креветки ,5 290 тг.,Индия
1,Креветка Королевская 31/40 очищенная,Креветки ,5 900 тг.,Индия
2,"Лангустины в панцире с головой, размер 21-30",Креветки ,6 500 тг.,
3,"Креветка Королевская  21/25, в панцире без головы",Креветки ,5 500 тг.,Индия
4,Чука салат замороженный,Азиатская Кухня ,2 800 тг.,
5,"Креветка Арктическая, 70/90,  Гренландия",Креветки ,6 700 тг.,
6,Креветка Ваннамей 16/20 в панцире б/г ,Креветки ,5 700 тг.,Индия
7,"Лангустины в Панцире с головой, размер 10-20",Креветки ,7 200 тг.,
8,"Креветка  Салатная 100/200, глазурь 40%",Креветки ,3 900 тг.,Индия
9,"Креветка Северная, 90/120,  Гренландия",Креветки ,5 400 тг.,
10,"Лангустины в панцире без головы, размер 30 - 50, уп. 2 кг",Креветки ,6 500 тг.,
11,Креветка Тигровая 8/12  с головой,Креветки ,14 500 тг.,Вьетнам
12,"Креветка Королевская Блочная, размер 16/20",Креветки ,15 500 тг.,
13,"Креветка Королевская Блочная, в панцире 21/25",Креветки ,15 000 тг.,
14,Креветка Risma Премиум глазурь 7%,Креветки ,6 000 тг.,Китай
15,Конечности Камчатского Краба 4L,Крабы ,24 000 тг.,
16,"Мясо краба, 1я фаланга, блок весом 1 -1,5 кг",Крабы ,35 000 тг.,
17,Мясо Краба Салатное (кусочками),Крабы ,17 500 тг.,
18,Краб Приморский в собственном соку,Крабы ,17 500 тг.,
19,Краб Натуральный в собственном соку,Крабы ,48 000 тг.,
20,Устрицы Gillardeau №2 ,Устрицы ,1 790 тг.,
21,Устрицы Ostra Regal  #2,Устрицы ,2 100 тг.,Франция
22,Устрицы Fin De Claire №2 Marine,Устрицы ,1 400 тг.,
23,Устрицы Tarbouriech,Устрицы ,2 400 тг.,Франция
24,Устрицы Fine de Claire Selection Marine #3,Устрицы ,1 100 тг.,
25,Устрицы La Belle №2,Устрицы ,1 490 тг.,
26,Устрицы №2 Царская,Устрицы ,1 600 тг.,Царская
27,Гребешок Risma 10/20 глазурь 7%,Гребешок ,13 500 тг.,
28,"Гребешок 10/20, глазурь 25%",Гребешок ,6 800 тг.,
29,Гребешок Морской на раковине с икрой 12/16,Гребешок ,7 600 тг.,
30,Гребешок на Створке,Гребешок ,4 500 тг.,РФ
31,Мидии в раковине 40-60 закрытые,Мидии ,4 800 тг.,
32,"Мидии на раковине Киви 40/60,  Новая Зеландия",Мидии ,5 400 тг.,
33,Мясо Мидий очищенное,Мидии ,3 000 тг.,Чили
34,"Осьминог Бэби, размер 40/60",Осьминоги ,5 500 тг.,Китай
35,"Осьминог Индонезия 0,5 - 1 кг",Осьминоги ,8 900 тг.,
36,"Каракатица, размер 40-60 ",Осьминоги ,4 800 тг.,Индонезия
37,"Хвост Омара, замороженный",Лобстеры ,40 000 тг.,Канада
38,Клешни Лобстера (Омара) замороженные,Лобстеры ,13 500 тг.,
39,Лобстер (Омар) размер 1000+ гр.,Лобстеры ,45 000 тг.,
40,Трубка Кальмара,Кальмары ,3 700 тг.,
41,Щупальца Кальмара свежемороженные,Кальмары ,2 500 тг.,РФ
42,"Кольца Кальмара, уп. 1 кг",Кальмары ,4 800 тг.,
43,Кальмар Патагонский,Кальмары ,5 500 тг.,
44,Кальмар Командорский очищенный,Кальмары ,3 600 тг.,
45,Кальмар Тушка Неочищенный,Кальмары ,2 500 тг.,РФ
46,Кальмар Командорский 600 гр,Кальмары ,2 300 тг.,
47,Трубка Кальмара Risma,Кальмары ,4 800 тг.,Китай
48,Морской Коктейль Стандарт 1 кг,Морской коктейль ,3 000 тг.,
49,Вонголе Свежемороженные уп. 500 гр,Вонголе ,3 500 тг.,
50,Улитка Бургундская в металлическом поддоне,Улитки по Бургундски ,2 990 тг.,
51,Улитки по Бургундски (Escargot),Улитки по Бургундски ,10 500 тг.,Франция
52,"Керамическая Сковорода ""Улиточница Эскарготьерка""",Улитки по Бургундски ,4 500 тг.,Бургундски
53,"Семга Атлантическая (Лосось) Охлажденная, 3-4 кг",Охлажденная рыба ,5 990 тг.,
54,Дорадо Охлажденная вес 300 - 400 гр/шт Греция,Охлажденная рыба ,5 800 тг.,
55,"Форель Атлантическая охлажденная 3-4 кг, Норвегия",Охлажденная рыба ,7 700 тг.,
56,Сибас Охлажденный весом 300 - 400 гр/шт ,Охлажденная рыба ,5 800 тг.,
57,Дорадо Охлажденная 400 - 600 гр./шт,Охлажденная рыба ,5 800 тг.,
58,Сибас Охлажденный 400 - 600 гр/шт,Охлажденная рыба ,5 800 тг.,
59,"Семга Атлантическая охлажденная, 5-6 кг, Норвегия",Охлажденная рыба ,7 700 тг.,
60,"Сибас Охлажденный 600 - 800 гр., Греция",Охлажденная рыба ,7 200 тг.,
61,Форель Атлантическая Норвежская охлажденная 5 - 6 кг,Охлажденная рыба ,7 700 тг.,
62," Дорадо Охлажденная вес 600-800 гр., Турция",Охлажденная рыба ,7 200 тг.,
63,Сибас охлажденный весом от 1000 до 1500 гр Турция,Охлажденная рыба ,8 900 тг.,
64,Снеппер Красный (Red Snapper),Рифовая рыба ,9 490 тг.,
65,Барабулька Red Mullet (Султанка),Рифовая рыба ,9 490 тг.,
66, Дорадо Охлажденная вес 1+ kg,Охлажденная рыба ,8 900 тг.,
67,"Барамунди / Barramundi  вес 0,5 - 2 кг/шт",Рифовая рыба ,9 490 тг.,
68,"Группер Каменный /Spotted Grouper 0,5 - 2 кг/шт",Рифовая рыба ,9 490 тг.,
69," Рыба Попугай/ Parrot Fish 0,5 - 2 кг",Рифовая рыба ,9 490 тг.,Ланка
70,Филе Рыбы Меч (Swordfish) охлажденное,Рифовая рыба ,15 990 тг.,
71,"Император / Emperor Fish 0,5 - 2 кг/шт",Рифовая рыба ,9 490 тг.,
72,Барракуда охлажденная 1-3 кг,Рифовая рыба ,9 490 тг.,
73,Стейк из Семги нарезка Подкова,Замороженная рыба ,6 990 тг.,
74,Филе Судака уп. 1 кг,Филе из рыбы ,3 500 тг.,Казахстан
75,Морской Окунь размер 500-600 гр,Замороженная рыба ,3 000 тг.,
76,Палтус вес 2-3 кг,Замороженная рыба ,5 500 тг.,
77,Скумбрия (макрель атлантическая) 400-600,Замороженная рыба ,2 200 тг.,
78,Тунец  Yellowfin филе уп. 350-550 гр.,Замороженная рыба ,10 100 тг.,
79,Форель Радужная Замороженая,Замороженная рыба ,3 200 тг.,Турция
80,Треска Атлантическая  размер 3 кг+,Замороженная рыба ,3 500 тг.,РФ
81,"Дорадо замороженная, весом 300-400 гр./шт",Замороженная рыба ,4 200 тг.,
82,Сибас замороженный 300-400 гр.,Замороженная рыба ,4 200 тг.,
83,"Филе минтая замороженное, уп. 600 гр",Филе из рыбы ,1 490 тг.,РФ
84,"Угорь Копченый Унаги, филе для суши",Замороженная рыба ,10 000 тг.,
85,Мойва атлантическая,Замороженная рыба ,3 100 тг.,
86,Семга (Лосось) Замороженная размер 6-7 кг,Замороженная рыба ,4 490 тг.,Стейки
87,Стейк Подкова из Форели,Филе из рыбы ,7 490 тг.,
88,"Черная Треска, вылов Канада",Замороженная рыба ,22 000 тг.,
89,"Стейки из Осетра, уп. 800 грамм ",Замороженная рыба ,9 800 тг.,
90,Хек Тушка Свежемороженная,Замороженная рыба ,1 800 тг.,
91,"Филе Окуня морского, 220 гр",Филе из рыбы ,3 000 тг.,
92,Сибас Замороженный 1+ крупный,Замороженная рыба ,7 500 тг.,
93,Стейк из Семги нарезка Подкова,Замороженная рыба ,6 990 тг.,
94,Лосось Малосольный филе на шкуре,Рыба Копченая ,9 500 тг.,KingFisher
95,Филе Судака уп. 1 кг,Филе из рыбы ,3 500 тг.,Казахстан
96,Филе из Охлажденной Семги (Лосося),Филе из рыбы ,14 500 тг.,
97,Филе на шкуре из Атлантической Семги,Филе из рыбы ,8 900 тг.,
98,"Филе из Охлажденной Океанической Форели  1,5 - 2 кг",Филе из рыбы ,14 500 тг.,
99,Слайсы из Малосольного Лосося,Рыба Копченая ,15 990 тг.,KingFisher
100,Стейк Подкова из Норв. лосося размороженный  вес 300 - 400 гр,Филе из рыбы ,7 800 тг.,
101,Филе Трески заморозка,Филе из рыбы ,4 500 тг.,
102,Тунец  Yellowfin филе уп. 350-550 гр.,Замороженная рыба ,10 100 тг.,
103,Филе Лосося копченое цельное вакуум,Рыба Копченая ,11 500 тг.,
104,"Филе минтая замороженное, уп. 600 гр",Филе из рыбы ,1 490 тг.,РФ
105,"Угорь Копченый Унаги, филе для суши",Замороженная рыба ,10 000 тг.,
106,Стейк Бабочка из Атлантической семги вес 150 гр.,Филе из рыбы ,8 900 тг.,
107,Стейк Подкова из Форели,Филе из рыбы ,7 490 тг.,
108,"Гравлакс (Gravad Lax) из охлажденки, вес 800 - 1000 гр.",Рыба Копченая ,16 500 тг.,KingFisher
109,"Филе Тунца грейд А, без костей и шкуры",Рифовая рыба ,15 500 тг.,
110,"Стейки из Осетра, уп. 800 грамм ",Замороженная рыба ,9 800 тг.,
111,Филе Сельди малосольное KingFisher,Филе из рыбы ,5 000 тг.,KingFisher
112,"Филе Окуня морского, 220 гр",Филе из рыбы ,3 000 тг.,
113,Чилийский Сибас стейк-подкова,Филе из рыбы ,30 000 тг.,
114,Стейк-филе Swordfish (Рыба Меч),Филе из рыбы ,6 800 тг.,
115,Черная Треска стейк-подкова,Филе из рыбы ,31 000 тг.,
116,Стейк Акулы,Филе из рыбы ,14 800 тг.,
117,Лосось Малосольный филе на шкуре,Рыба Копченая ,9 500 тг.,KingFisher
118,Лосось копченый по Шотландски Филе,Рыба Копченая ,10 800 тг.,KingFisher
119,Слайсы из Малосольного Лосося,Рыба Копченая ,15 990 тг.,KingFisher
120,Эсколар копченый филе на шкуре,Рыба Копченая ,7 800 тг.,KingFisher
121,Слайсы Копченый Лосось (Семга)  Шотландского Копчения,Рыба Копченая ,10 800 тг.,KingFisher
122,Тунец Копченый Куском (спинка),Рыба Копченая ,8 490 тг.,
123,Форель Копченая из Охлажденки Филе,Рыба Копченая ,10 800 тг.,
124,Филе Лосося копченое цельное вакуум,Рыба Копченая ,11 500 тг.,
125,"Гравлакс (Gravad Lax) из охлажденки, вес 800 - 1000 гр.",Рыба Копченая ,16 500 тг.,KingFisher
126,Слайсы из копченого Эсколара,Рыба Копченая ,14 800 тг.,KingFisher
127,Филе Осетра Холодного копчения,Рыба Копченая ,18 500 тг.,
128,Тунец Копченый нарезка Слайсами,Рыба Копченая ,12 500 тг.,KingFisher
129,"Филе Тунца грейд А, без костей и шкуры",Рифовая рыба ,15 500 тг.,
130,Снеппер Красный (Red Snapper),Рифовая рыба ,9 490 тг.,
131,Барабулька Red Mullet (Султанка),Рифовая рыба ,9 490 тг.,
132,"Барамунди / Barramundi  вес 0,5 - 2 кг/шт",Рифовая рыба ,9 490 тг.,
133,"Группер Каменный /Spotted Grouper 0,5 - 2 кг/шт",Рифовая рыба ,9 490 тг.,
134," Рыба Попугай/ Parrot Fish 0,5 - 2 кг",Рифовая рыба ,9 490 тг.,Ланка
135,Филе Рыбы Меч (Swordfish) охлажденное,Рифовая рыба ,15 990 тг.,
136,"Император / Emperor Fish 0,5 - 2 кг/шт",Рифовая рыба ,9 490 тг.,
137,Барракуда охлажденная 1-3 кг,Рифовая рыба ,9 490 тг.,
